algorithm,mean_reward,std_reward,mean_tracking_error,std_tracking_error,mean_final_error,mean_safety_rate,mean_episode_length
TD3,3382.6985683321955,35.40234944587641,0.011991126086190343,0.0022109363820992404,0.012424682267010212,1.0,500.0
SAC,3386.658341395855,23.006888604744127,0.015210599988885225,0.0015979995953493012,0.01585386134684086,1.0,500.0
DDPG,3375.2589000701905,25.119390905782012,0.012092547423671931,0.0018238520492329193,0.012424682267010212,1.0,500.0
